Ballots with first choice:,Number of Ballots,% of votes to writeIns,% of votes to BRAD BOURN,% of votes to JOSH NEIMAN,% of votes to exhaust,percent_sum
BRAD BOURN,8903,0,100,0,0,100
JOSH NEIMAN,4775,0,0,100,0,100
writeIns,61,100,0,0,0,100
