Ballots with first choice:,Number of Ballots,% of votes to Michael J. Katch,% of votes to writeIns,% of votes to Lisa Goodman,% of votes to Jeffrey Alan Wagner,% of votes to exhaust,percent_sum
Jeffrey Alan Wagner,321,0,0,0,100,0,100
Lisa Goodman,2997,0,0,100,0,0,100
Michael J. Katch,1042,100,0,0,0,0,100
writeIns,32,0,100,0,0,0,100
