Ballots with first choice:,Number of Ballots,% of votes to BRENDA ROBERTS,% of votes to COURTNEY RUBY,% of votes to exhaust,percent_sum
BRENDA ROBERTS,46532,100,0,0,100
COURTNEY RUBY,87759,0,100,0,100
