Ballots with first choice:,Number of Ballots,% of votes to writeIns,"% of votes to MANOHAR ""MANO"" RAJU",% of votes to exhaust,percent_sum
"MANOHAR ""MANO"" RAJU",161318,0,100,0,100
writeIns,5,100,0,0,100
