Ballots with first choice:,Number of Ballots,% of votes to NORMAN YEE,% of votes to F. X. FRANCIS XAVIER CROWLEY,% of votes to exhaust,percent_sum
ANDREW BLEY,825.0,23.52,24.24,52.24,99.99999999999999
F. X. FRANCIS XAVIER CROWLEY,7746.0,0.0,100.0,0.0,100.0
GLENN ROGERS,597.0,21.61,17.25,61.14,100.0
JOEL ENGARDIO,4168.0,27.02,31.36,41.63,100.0
JULIAN P. LAGOS,1091.0,37.4,14.12,48.49,99.99999999999999
LYNN GAVIN,719.0,23.23,14.19,62.59,100.0
MICHAEL GARCIA,5512.0,18.51,39.95,41.55,100.0
NORMAN YEE,9182.0,100.0,0.0,0.0,100.0
ROBERT J. SQUERI,1545.0,18.06,36.18,45.76,100.0
