Ballots with first choice:,Number of Ballots,% of votes to JILL BROADHURST,% of votes to ANNIE CAMPBELL WASHINGTON,% of votes to PAUL LIM,% of votes to exhaust,percent_sum
ANNIE CAMPBELL WASHINGTON,11358,0,100,0,0,100
JILL BROADHURST,5335,100,0,0,0,100
PAUL LIM,1011,0,0,100,0,100
