Ballots with first choice:,Number of Ballots,% of votes to George Davis,% of votes to Harold M. Hoogasian,% of votes to Lonnie S. Holmes,% of votes to John Rinaldi,% of votes to Josh Wolf,% of votes to Wilma Pang,% of votes to Grasshopper Alec Kaplan,% of votes to H. Brown,% of votes to writeIns,% of votes to Ahimsa Porter Sumchai,% of votes to Gavin Newsom,% of votes to Quintin Mecke,% of votes to Michael Powers,% of votes to exhaust,percent_sum
Ahimsa Porter Sumchai,3445,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100
Gavin Newsom,106395,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100
George Davis,666,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Grasshopper Alec Kaplan,1465,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100
H. Brown,929,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100
Harold M. Hoogasian,8515,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100
John Rinaldi,2556,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100
Josh Wolf,1815,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100
Lonnie S. Holmes,1830,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100
Michael Powers,533,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100
Quintin Mecke,9173,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100
Wilma Pang,7381,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
writeIns,27,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100
