Ballots with first choice:,Number of Ballots,% of votes to Bernie Sanders,% of votes to Joseph R. Biden,% of votes to exhaust,percent_sum
Bernie Sanders,26555.0,100.0,0.0,0.0,100.0
Elizabeth Warren,11518.0,46.97,49.57,3.46,100.0
Joseph R. Biden,102829.0,0.0,100.0,0.0,100.0
Tulsi Gabbard,1604.0,38.59,35.16,26.25,100.0
Uncommitted,4367.0,12.78,21.5,65.72,100.0
