Ballots with first choice:,Number of Ballots,% of votes to SUZY LOFTUS,% of votes to CHESA BOUDIN,% of votes to exhaust,percent_sum
CHESA BOUDIN,68805.0,0.0,100.0,0.0,100.0
LEIF DAUTCH,27031.0,37.3,30.91,31.79,100.0
NANCY TUNG,37353.0,36.9,25.57,37.53,100.0
SUZY LOFTUS,60007.0,100.0,0.0,0.0,100.0
writeIns,1.0,0.0,0.0,100.0,100.0
