Ballots with first choice:,Number of Ballots,% of votes to Bernie Sanders,% of votes to Joseph R. Biden,% of votes to exhaust,percent_sum
(undeclared),148.0,12.16,12.16,75.68,99.99999999999999
Amy Klobuchar,140.0,18.57,68.57,12.86,99.99999999999999
Bernie Sanders,3680.0,100.0,0.0,0.0,100.0
Elizabeth Warren,689.0,48.04,48.33,3.63,99.99999999999999
Joseph R. Biden,10105.0,0.0,100.0,0.0,100.0
Michael R. Bloomberg,154.0,22.73,59.74,17.53,100.0
Pete Buttigieg,294.0,22.11,67.01,10.88,100.0
Tom Steyer,47.0,25.53,46.81,27.66,99.99999999999999
Tulsi Gabbard,134.0,29.1,36.57,34.33,99.99999999999999
