Ballots with first choice:,Number of Ballots,% of votes to Harrison Bullard,% of votes to Andrew Johnson,% of votes to Will Jaeger,% of votes to writeIns,% of votes to exhaust,percent_sum
Andrew Johnson,8875,0,100,0,0,0,100
Harrison Bullard,316,100,0,0,0,0,100
Will Jaeger,958,0,0,100,0,0,100
writeIns,35,0,0,0,100,0,100
