Ballots with first choice:,Number of Ballots,"% of votes to Barbara A. ""Barb"" Johnson",% of votes to Phillipe M. Cunningham,% of votes to exhaust,percent_sum
"Barbara A. ""Barb"" Johnson",2258.0,100.0,0.0,0.0,100.0
Dana Hansen,220.0,19.55,32.73,47.73,100.0
Phillipe M. Cunningham,2140.0,0.0,100.0,0.0,100.0
Stephanie Gasca,634.0,20.19,61.51,18.3,99.99999999999999
writeIns,11.0,9.09,27.27,63.64,100.0
