Ballots with first choice:,Number of Ballots,% of votes to AK Hassan,% of votes to Abdi Gurhan Mohamed,% of votes to exhaust,percent_sum
AK Hassan,7094.0,100.0,0.0,0.0,100.0
Abdi Gurhan Mohamed,5415.0,0.0,100.0,0.0,100.0
Charles Exner,2069.0,31.71,20.49,47.8,100.0
writeIns,52.0,5.77,3.85,90.38,99.99999999999999
