Ballots with first choice:,Number of Ballots,% of votes to SCOTT WIENER,% of votes to RAFAEL MANDELMAN,% of votes to exhaust,percent_sum
BILL HEMENGER,1802.0,43.9,15.93,40.18,100.0
RAFAEL MANDELMAN,12433.0,0.0,100.0,0.0,100.0
REBECCA PROZAN,5872.0,44.84,33.48,21.68,100.0
SCOTT WIENER,14813.0,100.0,0.0,0.0,100.0
writeIns,30.0,6.67,3.33,90.0,99.99999999999999
