Ballots with first choice:,Number of Ballots,% of votes to GEORGE BEIER,% of votes to LORI DROSTE,% of votes to exhaust,percent_sum
GEORGE BEIER,1198.0,100.0,0.0,0.0,100.0
JACQUELYN MCCORMICK,837.0,39.43,42.29,18.28,100.0
LORI DROSTE,1318.0,0.0,100.0,0.0,100.0
MIKE ALVAREZ COHEN,1165.0,45.32,34.33,20.34,99.99999999999999
