Ballots with first choice:,Number of Ballots,% of votes to LONDON BREED,% of votes to DEAN PRESTON,% of votes to exhaust,percent_sum
DEAN PRESTON,19610,0,100,0,100
LONDON BREED,21399,100,0,0,100
