Ballots with first choice:,Number of Ballots,% of votes to BLONG YANG,% of votes to IAN ALEXANDER,% of votes to exhaust,percent_sum
BLONG YANG,1475.0,100.0,0.0,0.0,100.0
BRETT BUCKNER,746.0,36.06,39.01,24.93,99.99999999999999
IAN ALEXANDER,1048.0,0.0,100.0,0.0,100.0
KALE R. SEVERSON,220.0,43.18,25.0,31.82,100.0
writeIns,10.0,30.0,0.0,70.0,100.0
