Ballots with first choice:,Number of Ballots,"% of votes to Tauber, Nancy","% of votes to Grassi, Joseph G.","% of votes to Schuster, Luc","% of votes to McGovern, Marc C.","% of votes to Fantini, Alfred B.","% of votes to Nolan, Patricia M.",% of votes to exhaust,percent_sum
"Fantini, Alfred B.",2017.0,0.79,5.16,0.35,0.0,92.81,0.69,0.2,100.0
"Grassi, Joseph G.",1629.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
"Harding, Richard, Jr.",1562.0,17.29,35.15,0.0,0.0,0.0,0.0,47.57,100.0
"Lemily Wiggins, Gail",1024.0,39.55,9.67,15.33,0.0,0.0,15.33,20.12,100.0
"Malner, Stefan",133.0,33.08,10.53,12.78,0.0,0.0,17.29,26.32,99.99999999999999
"McGovern, Marc C.",2277.0,3.51,1.58,3.56,83.31,1.1,5.53,1.41,99.99999999999999
"Nolan, Patricia M.",1672.0,1.32,1.26,2.33,0.0,0.0,94.14,0.96,100.0
"Schuster, Luc",1680.0,3.1,1.19,94.94,0.0,0.0,0.0,0.77,100.0
"Tauber, Nancy",1246.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
writeIns,36.0,11.11,8.33,2.78,0.0,0.0,8.33,69.44,100.0
