Ballots with first choice:,Number of Ballots,% of votes to Eugene Chi-ching Wong,% of votes to Brian Murphy 0'flynn,% of votes to Sal Busalacchi,% of votes to Arron Peskin,% of votes to exhaust,percent_sum
Arron Peskin,16177,0,0,0,100,0,100
Brian Murphy 0'flynn,4604,0,100,0,0,0,100
Eugene Chi-ching Wong,3569,100,0,0,0,0,100
Sal Busalacchi,1555,0,0,100,0,0,100
