Ballots with first choice:,Number of Ballots,% of votes to DOUG WELTON,% of votes to LINDA CARTER,% of votes to exhaust,percent_sum
BRIAN V. HULET,615.0,53.5,36.75,9.76,99.99999999999999
CARY KENNETH STOCKWELL,210.0,51.9,35.24,12.86,100.0
DOUG WELTON,1037.0,100.0,0.0,0.0,100.0
LINDA CARTER,674.0,0.0,100.0,0.0,100.0
SCOTT PINKHAM,139.0,52.52,33.81,13.67,99.99999999999999
