Ballots with first choice:,Number of Ballots,% of votes to SUSAN WENGRAF,% of votes to FRED DODSWORTH,% of votes to ISABELLE GASTON,% of votes to exhaust,percent_sum
FRED DODSWORTH,2175,0,100,0,0,100
ISABELLE GASTON,929,0,0,100,0,100
SUSAN WENGRAF,4358,100,0,0,0,100
