Ballots with first choice:,Number of Ballots,% of votes to JANET REILLY,% of votes to MARK FARRELL,% of votes to exhaust,percent_sum
ABRAHAM SIMMONS,2074.0,31.39,36.16,32.45,99.99999999999997
BARBARA BERWICK,537.0,24.77,40.04,35.2,99.99999999999999
JANET REILLY,9898.0,100.0,0.0,0.0,100.0
KAT ANDERSON,1707.0,26.07,41.71,32.22,99.99999999999999
MARK FARRELL,9700.0,0.0,100.0,0.0,100.0
VILMA B. GUINTO PEORO,160.0,24.38,28.75,46.88,100.0
writeIns,18.0,11.11,16.67,72.22,99.99999999999999
