Ballots with first choice:,Number of Ballots,% of votes to LEAH HALL,% of votes to MIA OUSLEY,% of votes to CORINA LOPEZ,% of votes to exhaust,percent_sum
CORINA LOPEZ,7906,0,0,100,0,100
LEAH HALL,3486,100,0,0,0,100
MIA OUSLEY,3292,0,100,0,0,100
