Ballots with first choice:,Number of Ballots,% of votes to MALIA COHEN,% of votes to TONY KELLY,% of votes to MARLENE TRAN,% of votes to exhaust,percent_sum
ED DONALDSON,809.0,24.47,34.73,10.14,30.66,100.0
MALIA COHEN,7176.0,100.0,0.0,0.0,0.0,100.0
MARLENE TRAN,2725.0,0.0,0.0,100.0,0.0,100.0
SHAWN M. RICHARD,995.0,34.67,27.84,14.07,23.42,99.99999999999999
TONY KELLY,3701.0,0.0,100.0,0.0,0.0,100.0
