Ballots with first choice:,Number of Ballots,% of votes to Pat McCarthy,% of votes to Shawn Bunney,% of votes to exhaust,percent_sum
Calvin Goings,69052.0,57.73,15.69,26.58,99.99999999999999
Mike Lonergan,45330.0,37.94,36.08,25.98,100.0
Pat McCarthy,79235.0,100.0,0.0,0.0,100.0
Shawn Bunney,105057.0,0.0,100.0,0.0,100.0
writeIns,458.0,9.83,10.48,79.69,100.0
