Ballots with first choice:,Number of Ballots,% of votes to ROSS MIRKARIMI,% of votes to PAUL MIYAMOTO,% of votes to exhaust,percent_sum
CHRIS CUNNIE,51602.0,26.29,38.79,34.92,100.0
DAVID WONG,11360.0,22.61,46.73,30.66,100.0
PAUL MIYAMOTO,49814.0,0.0,100.0,0.0,100.0
ROSS MIRKARIMI,70457.0,100.0,0.0,0.0,100.0
