Ballots with first choice:,Number of Ballots,% of votes to ANTHONY WILSON,% of votes to SHANTHI GONZALES,% of votes to exhaust,percent_sum
ANTHONY WILSON,227,100,0,0,100
SHANTHI GONZALES,13964,0,100,0,100
