Ballots with first choice:,Number of Ballots,% of votes to BETSY HODGES,% of votes to MARK ANDREW,% of votes to exhaust,percent_sum
"ABDUL M RAHAMAN ""THE ROCK""",355.0,9.3,9.3,81.41,99.99999999999999
ALICIA K. BENNETT,354.0,25.99,14.97,59.04,100.0
BETSY HODGES,28962.0,100.0,0.0,0.0,100.0
BILL KAHN,102.0,6.86,7.84,85.29,100.0
"BOB ""AGAIN"" CARNEY JR",56.0,16.07,14.29,69.64,100.0
BOB FINE,2101.0,31.84,23.32,44.84,100.0
CAM WINTON,7533.0,20.54,11.66,67.81,100.0
CAPTAIN JACK SPARROW,265.0,28.3,11.7,60.0,100.0
CHRISTOPHER CLARK,192.0,4.17,5.73,90.1,99.99999999999999
CHRISTOPHER ROBIN ZIMMERMAN,172.0,5.81,5.23,88.95,100.0
CYD GORMAN,39.0,17.95,7.69,74.36,99.99999999999999
DAN COHEN,1808.0,20.96,12.83,66.21,100.0
DON SAMUELS,8350.0,49.21,22.9,27.89,100.0
DOUG MANN,779.0,51.6,12.32,36.07,99.99999999999999
EDMUND BERNARD BRUYERE,72.0,26.39,16.67,56.94,100.0
GREGG A. IVERSON,146.0,6.16,16.44,77.4,100.0
JACKIE CHERRYHOMES,3548.0,33.26,27.71,39.04,100.0
"JAMES ""JIMMY"" L. STROUD, JR.",65.0,9.23,15.38,75.38,100.0
JAMES EVERETT,349.0,35.53,11.46,53.01,99.99999999999999
JAYMIE KELLY,197.0,48.73,5.58,45.69,100.0
JEFFREY ALAN WAGNER,167.0,11.98,26.95,61.08,100.0
JOHN CHARLES WILSON,37.0,8.11,10.81,81.08,100.0
JOHN LESLIE HARTWIG,97.0,10.31,2.06,87.63,100.0
JOSHUA REA,110.0,9.09,11.82,79.09,100.0
KURTIS W. HANNA,200.0,34.5,10.5,55.0,100.0
MARK ANDREW,19648.0,0.0,100.0,0.0,100.0
MARK V ANDERSON,984.0,32.83,6.61,60.57,100.0
MERRILL ANDERSON,109.0,9.17,11.01,79.82,100.0
MIKE GOULD,204.0,9.31,17.65,73.04,99.99999999999999
NEAL BAXTER,147.0,31.97,13.61,54.42,100.0
OLE SAVIOR,700.0,2.71,4.29,93.0,100.0
RAHN V. WORKCUFF,66.0,13.64,4.55,81.82,100.0
STEPHANIE WOODRUFF,1014.0,43.1,15.98,40.93,100.0
TONY LANE,220.0,33.18,15.0,51.82,99.99999999999999
TROY BENJEGERDES,149.0,33.56,11.41,55.03,100.0
writeIns,118.0,23.73,14.41,61.86,99.99999999999999
