Ballots with first choice:,Number of Ballots,"% of votes to Golden, Jared F.","% of votes to St. Clair, Lucas R.",% of votes to exhaust,percent_sum
"Fulford, Jonathan S.",2489.0,44.64,26.48,28.89,99.99999999999999
"Golden, Jared F.",20987.0,100.0,0.0,0.0,100.0
"Olson, Craig R.",3993.0,37.89,36.36,25.75,99.99999999999999
"St. Clair, Lucas R.",17742.0,0.0,100.0,0.0,100.0
