Ballots with first choice:,Number of Ballots,% of votes to ALLEN SCHOENFELD,% of votes to VICTOR AGUILAR,% of votes to LEE THOMAS,% of votes to exhaust,percent_sum
ALLEN SCHOENFELD,1928,100,0,0,0,100
LEE THOMAS,7671,0,0,100,0,100
VICTOR AGUILAR,4595,0,100,0,0,100
