Ballots with first choice:,Number of Ballots,% of votes to Myrna Viray Lim,% of votes to Gerardo Sandoval,% of votes to exhaust,percent_sum
Anita Grier,2806.0,31.25,25.12,43.62,99.99999999999999
Fil M. Silverio,307.0,26.71,17.92,55.37,99.99999999999999
Gerardo Sandoval,7477.0,0.0,100.0,0.0,100.0
Jose Medina,2869.0,23.21,37.26,39.53,100.0
Myrna Viray Lim,4280.0,100.0,0.0,0.0,100.0
Rebecca Reynolds Silverberg,1816.0,29.9,25.11,44.99,100.0
Rolando A. Bonialla,2293.0,21.5,32.32,46.18,100.0
Tom Yuen,1328.0,51.73,13.25,35.02,100.0
