Ballots with first choice:,Number of Ballots,% of votes to Jeremiah Ellison,% of votes to Blong Yang,% of votes to exhaust,percent_sum
Blong Yang,1617.0,0.0,100.0,0.0,100.0
Cathy Spann,159.0,46.54,32.7,20.75,100.0
Jeremiah Ellison,1987.0,100.0,0.0,0.0,100.0
Raeisha (RA) Williams,445.0,56.4,22.47,21.12,100.0
writeIns,8.0,12.5,0.0,87.5,100.0
