Ballots with first choice:,Number of Ballots,% of votes to PHOEBE SORGEN,% of votes to writeIns,% of votes to SUSAN WENGRAF,% of votes to exhaust,percent_sum
PHOEBE SORGEN,292,100,0,0,0,100
SUSAN WENGRAF,5601,0,0,100,0,100
writeIns,84,0,100,0,0,100
