Ballots with first choice:,Number of Ballots,% of votes to JAMES HARRIS,% of votes to CHRIS JACKSON,% of votes to exhaust,percent_sum
CHRIS JACKSON,4965,0,100,0,100
JAMES HARRIS,9965,100,0,0,100
