Ballots with first choice:,Number of Ballots,% of votes to LYNETTE GIBSON MCELHANEY,% of votes to NONI D. SESSION,% of votes to exhaust,percent_sum
LYNETTE GIBSON MCELHANEY,13147,100,0,0,100
NONI D. SESSION,10108,0,100,0,100
