Ballots with first choice:,Number of Ballots,% of votes to LARRY E. REID,% of votes to MARCIE HODGE,% of votes to NEHANDA IMARA,% of votes to exhaust,percent_sum
LARRY E. REID,8464,100,0,0,0,100
MARCIE HODGE,3947,0,100,0,0,100
NEHANDA IMARA,3324,0,0,100,0,100
