Ballots with first choice:,Number of Ballots,% of votes to Lucrecia Bermudez,% of votes to Tom Ammiano,% of votes to Steve Zeltzer,% of votes to Renee Saucedo,% of votes to writeIns,% of votes to James Boris Perez,% of votes to Miguel Bustos,% of votes to exhaust,percent_sum
James Boris Perez,583,0,0,0,0,0,100,0,0,100
Lucrecia Bermudez,1027,100,0,0,0,0,0,0,0,100
Miguel Bustos,4346,0,0,0,0,0,0,100,0,100
Renee Saucedo,5497,0,0,0,100,0,0,0,0,100
Steve Zeltzer,806,0,0,100,0,0,0,0,0,100
Tom Ammiano,12592,0,100,0,0,0,0,0,0,100
writeIns,17,0,0,0,0,100,0,0,0,100
