Ballots with first choice:,Number of Ballots,"% of votes to Crafts, Dale John","% of votes to Bennett, Adrienne",% of votes to exhaust,percent_sum
"Bennett, Adrienne",16920.0,0.0,100.0,0.0,100.0
"Brakey, Eric L.",11976.0,36.36,28.18,35.46,100.0
"Crafts, Dale John",23665.0,100.0,0.0,0.0,100.0
