Ballots with first choice:,Number of Ballots,% of votes to OWEN P. O''DONNELL,% of votes to ROSS MIRKARIMI,% of votes to ROB ANDERSON,% of votes to writeIns,% of votes to exhaust,percent_sum
OWEN P. O''DONNELL,5993,100,0,0,0,0,100
ROB ANDERSON,2014,0,0,100,0,0,100
ROSS MIRKARIMI,27564,0,100,0,0,0,100
writeIns,88,0,0,0,100,0,100
