Ballots with first choice:,Number of Ballots,% of votes to WILMA PANG,% of votes to JULIE CHRISTENSEN,% of votes to AARON PESKIN,% of votes to exhaust,percent_sum
AARON PESKIN,8767,0,0,100,0,100
JULIE CHRISTENSEN,7267,0,100,0,0,100
WILMA PANG,660,100,0,0,0,100
