Ballots with first choice:,Number of Ballots,% of votes to Michael Guest,% of votes to Jon Olson,% of votes to writeIns,% of votes to exhaust,percent_sum
Jon Olson,2874,0,100,0,0,100
Michael Guest,2183,100,0,0,0,100
writeIns,43,0,0,100,0,100
