Ballots with first choice:,Number of Ballots,% of votes to KARL DEBRO,% of votes to NINA SENN,% of votes to exhaust,percent_sum
CHERI SPIGNER,1310.0,34.58,33.28,32.14,99.99999999999997
KARL DEBRO,5316.0,100.0,0.0,0.0,100.0
NINA SENN,6183.0,0.0,100.0,0.0,100.0
SALEEM SHAKIR-GILMORE,3311.0,39.72,35.73,24.55,100.0
