Ballots with first choice:,Number of Ballots,% of votes to MALIA COHEN,% of votes to TONY KELLY,% of votes to exhaust,percent_sum
ASHLEY H RHODES,260.0,21.54,7.31,71.15,99.99999999999999
CHRIS JACKSON,1088.0,17.0,23.71,59.28,100.0
DEWITT M. LACY,1274.0,36.89,13.19,49.92,100.0
DIANE WESLEY SMITH,399.0,15.79,3.76,80.45,99.99999999999999
ED DONALDSON,202.0,17.33,2.48,80.2,100.0
ELLSWORTH ''ELL'' JENNISON,68.0,8.82,17.65,73.53,99.99999999999999
ERIC SMITH,448.0,24.11,29.46,46.43,99.99999999999999
GEOFFREA MORRIS,333.0,18.92,2.4,78.68,99.99999999999999
JACKIE NORMAN,186.0,16.67,3.76,79.57,99.99999999999999
JAMES M. CALLOWAY,417.0,11.03,6.95,82.01,100.0
KRISTINE ENEA,544.0,12.32,19.3,68.38,100.0
LYNETTE SWEET,2150.0,23.77,5.72,70.51,100.0
M.J. MARIE FRANKLIN,81.0,8.64,8.64,82.72,99.99999999999999
MALIA COHEN,2097.0,100.0,0.0,0.0,100.0
MARLENE TRAN,2049.0,6.05,10.54,83.41,100.0
NYESE JOSHUA,135.0,8.89,17.04,74.07,100.0
"RODNEY HAMPTON, JR.",237.0,10.97,4.22,84.81,99.99999999999999
STEPHEN WEBER,311.0,10.93,10.61,78.46,100.0
STEVE MOSS,1969.0,13.31,26.66,60.03,99.99999999999999
TERESA DUQUE,1441.0,8.12,5.69,86.19,100.0
TONY KELLY,2102.0,0.0,100.0,0.0,100.0
writeIns,17.0,5.88,0.0,94.12,99.99999999999999
