Ballots with first choice:,Number of Ballots,% of votes to writeIns,% of votes to BENJAMIN VISNICK,% of votes to GARY D. YEE,% of votes to exhaust,percent_sum
BENJAMIN VISNICK,5798,0,100,0,0,100
GARY D. YEE,13043,0,0,100,0,100
writeIns,156,100,0,0,0,100
