Ballots with first choice:,Number of Ballots,% of votes to BRUCE QUAN,% of votes to NANCY SIDEBOTHAM,% of votes to FRANCIS ''MATT'' HUMMEL,% of votes to PEGGY MOORE,% of votes to REBECCA KAPLAN,% of votes to exhaust,percent_sum
BRUCE QUAN,27342,100,0,0,0,0,0,100
FRANCIS ''MATT'' HUMMEL,11593,0,0,100,0,0,0,100
NANCY SIDEBOTHAM,5799,0,100,0,0,0,0,100
PEGGY MOORE,31925,0,0,0,100,0,0,100
REBECCA KAPLAN,83365,0,0,0,0,100,0,100
