Ballots with first choice:,Number of Ballots,% of votes to TY MOORE,% of votes to ALONDRA CANO,% of votes to exhaust,percent_sum
ABDI ABDULLE,286.0,15.38,22.73,61.89,100.0
ALONDRA CANO,1698.0,0.0,100.0,0.0,100.0
CHARLES CURTIS,338.0,27.51,33.43,39.05,100.0
GREGORY MCDONALD,117.0,15.38,41.03,43.59,100.0
PAT FLEETHAM,153.0,20.92,40.52,38.56,100.0
TY MOORE,1569.0,100.0,0.0,0.0,100.0
writeIns,18.0,11.11,5.56,83.33,100.0
