Ballots with first choice:,Number of Ballots,% of votes to ERIC MAR,% of votes to SUE LEE,% of votes to exhaust,percent_sum
ALICIA WANG,4218.0,22.02,54.62,23.35,99.99999999999999
BRIAN J. LARKIN,998.0,18.24,19.84,61.92,100.0
ERIC MAR,11649.0,100.0,0.0,0.0,100.0
FIDEL CHRYS GAKUBA,363.0,21.49,34.16,44.35,100.0
GEORGE FLAMIK,325.0,12.92,19.08,68.0,100.0
JASON JUNGREIS,614.0,20.68,28.83,50.49,99.99999999999999
NICHOLAS C. BELLONI,537.0,16.76,26.26,56.98,99.99999999999999
SHERMAN R. D''SILVA,257.0,20.23,17.51,62.26,99.99999999999999
SUE LEE,9753.0,0.0,100.0,0.0,100.0
writeIns,42.0,7.14,2.38,90.48,99.99999999999999
