Ballots with first choice:,Number of Ballots,% of votes to STEPHEN H. CASSIDY,% of votes to ANTHONY B. ''TONY'' SANTOS,% of votes to exhaust,percent_sum
ANTHONY B. ''TONY'' SANTOS,7982.0,0.0,100.0,0.0,100.0
JOHN R. PALAU,390.0,37.69,24.87,37.44,100.0
JOYCE RUTLEDGE STAROSCIAK,5206.0,36.34,32.27,31.39,99.99999999999999
LOU FILIPOVICH,9.0,55.56,0.0,44.44,100.0
SARA M. MESTAS,925.0,34.81,30.38,34.81,99.99999999999999
STEPHEN H. CASSIDY,7908.0,100.0,0.0,0.0,100.0
writeIns,64.0,4.69,7.81,87.5,100.0
