Ballots with first choice:,Number of Ballots,% of votes to Sean R. Elsbernd,% of votes to Christine Linnenbach,% of votes to exhaust,percent_sum
Art Belenson,510.0,28.04,26.27,45.69,100.0
Christine Linnenbach,6784.0,0.0,100.0,0.0,100.0
David Parker,348.0,18.1,15.23,66.67,99.99999999999999
Gregory Corrales,2560.0,24.34,27.11,48.55,100.0
Isaac Wang,2728.0,21.81,17.52,60.67,99.99999999999999
Michael Patrick Mallen,975.0,18.56,28.62,52.82,99.99999999999999
Milton `Rennie` O`Brien,2372.0,23.36,24.92,51.73,100.0
Pat Lakey,763.0,26.08,24.64,49.28,100.0
Sean R. Elsbernd,10505.0,100.0,0.0,0.0,100.0
Shawn Reifsteck,1108.0,19.13,29.96,50.9,100.0
Sheela Kini,349.0,10.32,21.78,67.91,100.0
Svelana Kaff,546.0,18.32,26.19,55.49,99.99999999999999
Vernon C. Grigg III,2091.0,29.79,35.34,34.86,99.99999999999999
