Ballots with first choice:,Number of Ballots,% of votes to AIDAN HILL,% of votes to CECILIA ''CES'' ROSALES,% of votes to RIGEL ROBINSON,% of votes to exhaust,percent_sum
AIDAN HILL,254,100,0,0,0,100
CECILIA ''CES'' ROSALES,967,0,100,0,0,100
RIGEL ROBINSON,1587,0,0,100,0,100
