Ballots with first choice:,Number of Ballots,% of votes to EVA ARCE,% of votes to DEBORAH COX,% of votes to KENNETH PON,% of votes to exhaust,percent_sum
DEBORAH COX,16190,0,100,0,0,100
EVA ARCE,3951,100,0,0,0,100
KENNETH PON,4708,0,0,100,0,100
