Ballots with first choice:,Number of Ballots,% of votes to Bob Kiss,% of votes to Kurt Wright,% of votes to exhaust,percent_sum
Andy Montroll,2063.0,52.4,30.83,16.77,100.0
Bob Kiss,2585.0,100.0,0.0,0.0,100.0
Dan Smith,1306.0,46.86,35.15,17.99,100.0
James Simpson,35.0,57.14,25.71,17.14,99.99999999999999
Kurt Wright,2951.0,0.0,100.0,0.0,100.0
writeIns,36.0,41.67,13.89,44.44,100.0
