Ballots with first choice:,Number of Ballots,% of votes to writeIns,% of votes to JOSÉ CISNEROS,% of votes to exhaust,percent_sum
JOSÉ CISNEROS,154867,0,100,0,100
writeIns,6,100,0,0,100
