Ballots with first choice:,Number of Ballots,"% of votes to VICTOR AGUILAR, JR.",% of votes to LEE THOMAS,% of votes to exhaust,percent_sum
LEE THOMAS,11358,0,100,0,100
"VICTOR AGUILAR, JR.",11902,100,0,0,100
