,Lisa Savage,Max Linn,Sara Gideon,Susan Collins
first_choice,45.13,8.93,460.36,454.25
Lisa Savage,,3.06,198.96,63.28
Max Linn,12.12,,52.62,69.83
Sara Gideon,24.93,0.25,,68.14
Susan Collins,4.82,2.93,50.84,
exhaust,3.26,2.69,157.94,252.99
