,Lisa Savage,Max Linn,Sara Gideon,Susan Collins
first_choice,4.66,0.92,47.52,46.89
Lisa Savage,,49.09,65.79,31.44
Max Linn,28.95,,17.40,34.70
Sara Gideon,59.54,3.95,,33.86
Susan Collins,11.51,46.95,16.81,
