Description,Id,ExternalId
Ballot 1 - Type 1,1,
Ballot 2 - Type 2,2,
Ballot 3 - Type 3,3,
Ballot 4 - Type 4,4,
Ballot 5 - Type 5,5,
Ballot 6 - Type 6,6,
Ballot 7 - Type 7,7,
Ballot 8 - Type 8,8,
Ballot 9 - Type 9,9,
Ballot 10 - Type 10,10,
Ballot 11 - Type 11,11,
Ballot 12 - Type 12,12,
