Description,Id,ExternalId,DistrictId,VoteFor,NumOfRanks
MAYOR,1,,1,1,5
COUNCILOR DISTRICT 1,2,,2,1,0
COUNCILOR DISTRICT 2,3,,3,1,3
COUNCILOR DISTRICT 3,4,,4,1,0
COUNCILOR DISTRICT 4,5,,5,1,3
