raceID,candidate,round_elected,round_eliminated,round_1_vote,round_2_vote,round_3_vote,round_4_vote,round_5_vote,round_6_vote,round_7_vote,round_8_vote,round_9_vote,round_10_vote,round_11_vote,round_12_vote,round_13_vote,round_14_vote,round_15_vote,round_16_vote,round_17_vote,round_18_vote,round_19_vote,round_20_vote,round_21_vote,round_22_vote,round_23_vote,round_24_vote,round_25_vote,round_26_vote,round_27_vote,round_28_vote,round_29_vote,round_30_vote,round_31_vote,round_32_vote,round_33_vote,round_34_vote,round_35_vote
SanFrancisco__2004__District1__SanFranciscoDistrict12004,Jeffrey S. Freebairn,,1.0,132.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District1__SanFranciscoDistrict12004,Jake McGoldrick,6.0,,11815.0,11832.0,12084.0,12304.0,12876.0,14011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District1__SanFranciscoDistrict12004,Rose Tsui,,3.0,1595.0,1612.0,1727.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District1__SanFranciscoDistrict12004,David Heller,,4.0,2012.0,2038.0,2297.0,2531.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District1__SanFranciscoDistrict12004,Matt Tuchow,,5.0,2864.0,2878.0,3159.0,3417.0,4062.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District1__SanFranciscoDistrict12004,Lillian Sing,,6.0,8989.0,9013.0,9309.0,10036.0,10607.0,11929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District1__SanFranciscoDistrict12004,Leanna Dawydiak,,2.0,1380.0,1397.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District11__SanFranciscoDistrict112004,Tom Yuen,,2.0,1328.0,1363.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District11__SanFranciscoDistrict112004,Myrna Viray Lim,,7.0,4280.0,4328.0,4884.0,5248.0,5719.0,6760.0,7628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District11__SanFranciscoDistrict112004,Anita Grier,,5.0,2806.0,2845.0,3080.0,3522.0,3829.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District11__SanFranciscoDistrict112004,Jose Medina,,6.0,2869.0,2893.0,2989.0,3359.0,3867.0,4683.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District11__SanFranciscoDistrict112004,Rolando A. Bonialla,,4.0,2293.0,2316.0,2356.0,2571.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District11__SanFranciscoDistrict112004,Gerardo Sandoval,7.0,,7477.0,7509.0,7637.0,7919.0,8553.0,9256.0,10679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District11__SanFranciscoDistrict112004,Rebecca Reynolds Silverberg,,3.0,1816.0,1864.0,1946.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District11__SanFranciscoDistrict112004,Fil M. Silverio,,1.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District2__SanFranciscoDistrict22004,David Pascal,,1.0,4235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
