Ballots with first choice:,Number of Ballots,Lisa Savage ranked in top 3,Max Linn ranked in top 3,Sara Gideon ranked in top 3,Susan Collins ranked in top 3
Lisa Savage,45.134413474999995,100.0,41.2,67.03,28.45
Max Linn,8.925392197999999,37.04,100.0,25.72,62.14
Sara Gideon,460.3550443879995,59.25,34.64,100.0,17.76
Susan Collins,454.2483149480007,32.02,26.71,18.3,100.0
