"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"1101","0","0","1","841","0.118906064","1","100"
"1101","25500","5000","61","841","7.253269916","61","100"
"1101","25500","5008","185","841","21.997621878","185","100"
"1101","25500","6013","15","841","1.783590963","15","100"
"1101","25500","6014","16","841","1.902497027","16","100"
"1101","25500","6017","50","841","5.94530321","50","100"
"1101","25500","6019","30","841","3.567181926","30","100"
"1101","25500","6022","85","841","10.107015457","85","100"
"1101","25500","6023","150","841","17.835909631","150","100"
"1101","25500","6024","66","841","7.847800237","66","100"
"1101","25500","6025","2","841","0.237812128","2","100"
"1101","25500","6027","47","841","5.588585017","47","100"
"1101","25500","6028","27","841","3.210463733","27","100"
"1101","25500","6029","106","841","12.604042806","106","100"
"1102","25500","1013","10","989","1.011122345","33","30.303030303"
"1102","25500","1016","38","989","3.842264914","38","100"
"1102","25500","1018","4","989","0.404448938","4","100"
"1102","25500","1019","19","989","1.921132457","19","100"
"1102","25500","1020","34","989","3.437815975","34","100"
"1102","25500","1021","42","989","4.246713852","42","100"
"1102","25500","1023","21","989","2.123356926","22","95.454545454"
"1102","25500","2020","28","989","2.831142568","28","100"
"1102","25500","2021","35","989","3.53892821","35","100"
"1102","25500","2022","63","989","6.370070778","63","100"
"1102","25500","2023","31","989","3.134479271","31","100"
"1102","25500","2024","106","989","10.717896865","106","100"
"1102","25500","3000","39","989","3.943377148","39","100"
"1102","25500","3002","31","989","3.134479271","31","100"
"1102","25500","3003","92","989","9.302325581","92","100"
"1102","25500","6009","68","989","6.875631951","68","100"
"1102","25500","6010","88","989","8.897876643","88","100"
"1102","25500","6018","180","989","18.200202224","180","100"
"1102","25500","6020","27","989","2.730030333","27","100"
"1102","25500","6021","33","989","3.336703741","33","100"
"1103","25600","1002","87","798","10.902255639","87","100"
"1103","25600","1003","77","798","9.649122807","77","100"
"1103","25600","1004","36","798","4.511278195","36","100"
"1103","25600","1010","157","798","19.674185463","157","100"
"1103","25600","1011","118","798","14.786967418","118","100"
"1103","25600","1013","32","798","4.010025062","32","100"
"1103","25600","4000","173","798","21.679197994","173","100"
"1103","25600","4003","102","798","12.781954887","102","100"
"1103","25600","4004","16","798","2.005012531","16","100"
"1104","25500","4000","109","895","12.178770949","109","100"
"1104","25500","4005","4","895","0.446927374","28","14.285714285"
"1104","25500","4007","62","895","6.927374301","62","100"
"1104","25500","4008","2","895","0.223463687","2","100"
"1104","25500","5001","67","895","7.486033519","67","100"
"1104","25500","5002","17","895","1.89944134","17","100"
"1104","25500","5003","16","895","1.787709497","16","100"
"1104","25500","5004","48","895","5.363128491","48","100"
"1104","25500","5005","22","895","2.458100558","22","100"
"1104","25500","5006","68","895","7.597765363","68","100"
"1104","25500","5007","86","895","9.608938547","86","100"
"1104","25500","5009","69","895","7.709497206","69","100"
"1104","25500","5010","71","895","7.932960893","71","100"
"1104","25500","6030","67","895","7.486033519","67","100"
"1104","25500","6031","59","895","6.59217877","59","100"
"1104","25500","6032","128","895","14.301675977","128","100"
"1105","25500","1025","66","913","7.228915662","66","100"
"1105","25500","2027","113","913","12.376779846","113","100"
"1105","25500","2028","74","913","8.105147864","74","100"
"1105","25500","2029","31","913","3.39539978","31","100"
"1105","25500","2030","47","913","5.147864184","47","100"
"1105","25500","3005","103","913","11.281489594","103","100"
"1105","25500","3006","92","913","10.076670317","92","100"
"1105","25500","3008","89","913","9.748083242","89","100"
"1105","25500","3009","75","913","8.214676889","75","100"
"1105","25500","4002","78","913","8.543263964","78","100"
"1105","25500","4003","54","913","5.91456736","54","100"
"1105","25500","4004","67","913","7.338444687","67","100"
"1105","25500","4005","24","913","2.628696604","28","85.714285714"
"1106","25600","4001","87","866","10.046189376","87","100"
"1106","25600","4002","107","866","12.355658198","107","100"
"1106","25600","4006","101","866","11.662817551","101","100"
"1106","25600","4008","94","866","10.854503464","94","100"
"1106","26002","1001","77","866","8.891454965","77","100"
"1106","26002","1002","45","866","5.196304849","45","100"
"1106","26002","1003","33","866","3.810623556","33","100"
"1106","26002","1004","146","866","16.859122401","146","100"
"1106","26002","1005","89","866","10.277136258","89","100"
"1106","26002","1006","87","866","10.046189376","87","100"
"1107","26001","1001","102","952","10.714285714","102","100"
"1107","26001","1002","35","952","3.676470588","35","100"
"1107","26001","1003","77","952","8.088235294","77","100"
"1107","26001","1004","71","952","7.457983193","71","100"
"1107","26001","1005","106","952","11.134453781","106","100"
"1107","26001","1006","98","952","10.294117647","98","100"
"1107","26001","1007","105","952","11.029411764","105","100"
"1107","26001","2000","59","952","6.197478991","59","100"
"1107","26001","2001","103","952","10.819327731","103","100"
"1107","26001","2002","92","952","9.663865546","92","100"
"1107","26001","2003","104","952","10.924369747","104","100"
"1108","26001","1000","38","812","4.679802955","38","100"
"1108","26001","1008","105","812","12.931034482","105","100"
"1108","26001","1009","99","812","12.192118226","99","100"
"1108","26001","1010","92","812","11.330049261","92","100"
"1108","26001","1011","92","812","11.330049261","92","100"
"1108","26001","1012","95","812","11.699507389","95","100"
"1108","26002","2009","94","812","11.576354679","94","100"
"1108","26003","1000","98","812","12.068965517","98","100"
"1108","26003","1001","99","812","12.192118226","99","100"
"1109","26002","1000","101","875","11.542857142","101","100"
"1109","26002","1007","80","875","9.142857142","80","100"
"1109","26002","1008","89","875","10.171428571","89","100"
"1109","26002","2000","107","875","12.228571428","107","100"
"1109","26002","2001","128","875","14.628571428","128","100"
"1109","26002","2002","9","875","1.028571428","9","100"
"1109","26002","2003","69","875","7.885714285","69","100"
"1109","26002","2004","187","875","21.371428571","187","100"
"1109","26002","2005","58","875","6.628571428","58","100"
"1109","26002","2006","47","875","5.371428571","47","100"
"1111","31201","2009","51","603","8.457711442","51","100"
"1111","31201","2010","9","603","1.492537313","9","100"
"1111","31201","2011","128","603","21.227197346","128","100"
"1111","31201","3001","52","603","8.623548922","52","100"
"1111","31201","3002","57","603","9.452736318","57","100"
"1111","31201","3004","106","603","17.578772802","106","100"
"1111","31201","3005","103","603","17.081260364","103","100"
"1111","31201","3006","53","603","8.789386401","53","100"
"1111","31201","3007","44","603","7.296849087","44","100"
"1112","31201","2000","76","534","14.232209737","216","35.185185185"
"1112","31201","2001","115","534","21.535580524","115","100"
"1112","31201","2003","113","534","21.161048689","113","100"
"1112","31201","2005","107","534","20.037453183","107","100"
"1112","31201","2007","123","534","23.033707865","123","100"
"1113","31301","1004","88","713","12.342215988","88","100"
"1113","31301","1005","86","713","12.061711079","86","100"
"1113","31301","1006","46","713","6.451612903","46","100"
"1113","31301","2003","104","713","14.586255259","104","100"
"1113","31301","2004","80","713","11.220196353","80","100"
"1113","31301","2005","69","713","9.677419354","69","100"
"1113","31301","2006","42","713","5.890603085","42","100"
"1113","31301","2009","63","713","8.835904628","63","100"
"1113","31301","2010","57","713","7.994389901","57","100"
"1113","31301","2011","78","713","10.939691444","78","100"
"1114","31301","1000","83","778","10.668380462","83","100"
"1114","31301","1001","77","778","9.897172236","77","100"
"1114","31301","1002","87","778","11.18251928","87","100"
"1114","31301","1003","68","778","8.740359897","68","100"
"1114","31301","2000","88","778","11.311053984","88","100"
"1114","31301","2001","89","778","11.439588688","89","100"
"1114","31301","2002","100","778","12.853470437","100","100"
"1114","31301","2012","91","778","11.696658097","91","100"
"1114","31302","1003","95","778","12.210796915","95","100"
"1115","31201","4002","78","856","9.112149532","78","100"
"1115","31301","3000","21","856","2.453271028","21","100"
"1115","31301","3001","76","856","8.878504672","76","100"
"1115","31301","3002","87","856","10.163551401","87","100"
"1115","31301","3003","89","856","10.397196261","89","100"
"1115","31301","3004","98","856","11.44859813","98","100"
"1115","31301","3005","92","856","10.747663551","92","100"
"1115","31301","3006","99","856","11.56542056","99","100"
"1115","31301","3007","97","856","11.3317757","97","100"
"1115","31301","3008","116","856","13.551401869","116","100"
"1115","31302","1000","3","856","0.350467289","92","3.260869565"
"1116","31201","1011","107","860","12.441860465","107","100"
"1116","31201","4000","137","860","15.930232558","137","100"
"1116","31201","4001","118","860","13.720930232","118","100"
"1116","31201","4005","99","860","11.511627906","99","100"
"1116","31202","1004","74","860","8.604651162","74","100"
"1116","31202","1005","92","860","10.697674418","92","100"
"1116","31400","5000","111","860","12.906976744","111","100"
