,Rank 1,Rank 2,Rank 3,Did Not Rank
Amy Klobuchar,59.00,635.00,1292.00,19206.00
Andrew Yang,154.00,545.00,1278.00,19220.00
Bernie Sanders,6723.00,10181.00,11251.00,9247.00
Deval Patrick,7.00,25.00,72.00,20426.00
Elizabeth Warren,951.00,3585.00,5337.00,15161.00
Joseph R. Biden,11008.00,13672.00,15173.00,5325.00
Michael R.,198.00,725.00,1160.00,19338.00
Pete Buttigieg,158.00,821.00,1547.00,18951.00
Tom Steyer,19.00,105.00,301.00,20197.00
Tulsi Gabbard,931.00,2120.00,3000.00,17498.00
Uncommitted,185.00,477.00,1193.00,19305.00
