contest,place,state,year,date,office,break_on_overvote,break_on_repeated_skipvotes,multi_winner_rounds,state_code,county,master_lookup,candidate_map,parser,idparser,rcv_type,num_winners,path
Republican Candidate Maine US House District 2,Maine,ME,2020,7/14/2020,Republican Candidate for US House of Representatives District 2,TRUE,TRUE,,,,,,common_csv,,rcv_single_winner,1,Ballot_Images/Maine/2020/US_House_CD2_Republican_Primary/official_08032020
Democratic Candidate Maine State Senate District 11 2020,Maine,ME,2020,7/14/2020,Democratic Candidate for Maine State Senate District 11,TRUE,TRUE,,,,,,common_csv,,rcv_single_winner,1,Ballot_Images/Maine/2020/State_Senate_District11_Democratic_Primary/official_08032020
Democratic Candidate Maine State House District 41 2020,Maine,ME,2020,7/14/2020,Democratic Candidate for Maine State House District 41,TRUE,TRUE,,,,,,common_csv,,rcv_single_winner,1,Ballot_Images/Maine/2020/State_Rep_District41_Democratic_Primary/official_08032020
Democratic Candidate Maine State House District 47 2020,Maine,ME,2020,7/14/2020,Democratic Candidate for Maine State House District 47,TRUE,TRUE,,,,,,common_csv,,rcv_single_winner,1,Ballot_Images/Maine/2020/State_Rep_District47_Democratic_Primary/official_08032020
Democratic Candidate Maine State House District 49 2020,Maine,ME,2020,7/14/2020,Democratic Candidate for Maine State House District 49,TRUE,TRUE,,,,,,common_csv,,rcv_single_winner,1,Ballot_Images/Maine/2020/State_Rep_District49_Democratic_Primary/official_08032020
Democratic Candidate Maine State House District 90 2020,Maine,ME,2020,7/14/2020,Democratic Candidate for Maine State House District 90,TRUE,TRUE,,,,,,common_csv,,rcv_single_winner,1,Ballot_Images/Maine/2020/State_Rep_District90_Democratic_Primary/official_08032020
