,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M."
first_choice,44.58,24.71,30.71
"Curry, Glenn Chip",,37.48,54.84
"Pattavina, Charles F.",35.20,,34.06
"Stanicki, Robyn M.",43.81,41.84,
exhaust,20.99,20.68,11.09
